School Name,Start Date,End Date,Notes,Degree Name,Activities
XP Educação,Jan 2024,Mar 2025,,Pós-graduação Lato Sensu - Especialização,
Wyden Educacional,2020,2022,,Tecnólogo,
Universidade Federal do Ceará,Jan 2019,,,Bacharelado,
Universidade Federal do Ceará,Aug 2016,,,Bacharelado,
