Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Como Passar da Colaboração à Gerência,"Antes de começar em seu primeiro cargo de gerência, é importante se preparar para uma mudança de mentalidade e prioridades. Nesse curso, a coach em liderança, autora de best-sellers e consultora Roberta Matuson explica como iniciar com êxito seu novo cargo de gerência. Roberta compartilha estratégias que ajudarão você a fazer a transição de foco em seu próprio desempenho, como colaborador individual, para foco no sucesso da equipe, como gerente. Ela ajuda você a enfrentar os obstáculos comuns, como gerenciar ex-colegas, obter o compromisso e avaliar a equipe, e se preparar para evoluir como líder.",Course,2019-11-15 10:48 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4361604,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4361604,Course,2023-11-01 23:14 UTC,N/A,false,N/A,
Como Melhorar seu Discernimento,"Quer tomar melhores decisões no trabalho? Nesse curso rápido, o escritor, especialista em inovação e professor, Drew Boyd, sugere maneiras de confrontar os vieses cognitivos inatos, para que você tome boas decisões com mais discernimento e equilíbrio.",Course,2019-12-02 10:42 UTC,N/A,false,N/A,
Formação Básica em Word (Office 365/Microsoft 365),"Este é um curso sobre o editor de Textos Word do pacote Office 365 (Microsoft 365) na sua versão mais atualizada. Aprenda conceitos essenciais para tornar seus documentos incríveis, utilizando recursos desse sensacional aplicativo! Você aprenderá a diagramar seu documento de forma correta e ainda utilizar recursos como tabelas, inserção e posicionamento de imagens além de personalizar seus documentos para dar uma aparência profissional em seus textos.",Course,2022-03-29 21:57 UTC,N/A,false,N/A,
Negociação Estratégica,"Desenvolva suas habilidades de negociação para conseguir seu objetivo e crie melhores relacionamentos com colegas, chefes, parceiros e fornecedores. Neste curso, o consultor de liderança e instrutor Mike Figliuolo compartilha várias ferramentas de negociação simples e eficazes, descreve as quatro fases principais do ciclo de negociação e explica como avaliar seu caso, reunir dados, negociar um acordo e aprender com a experiência. Além disso, ele aborda as armadilhas de negociação mais comuns e como evitá-las.",Course,2019-11-18 09:23 UTC,N/A,false,N/A,
Advanced PHP: Debugging Techniques,"<p>PHP powers the back end of many of the world’s websites. But its extensive range of error levels makes it hard to know what’s what, especially when it comes to capturing relevant information and debugging errors in your code. In this course, instructor Gary Kovar shows you advanced techniques to improve your debugging workflow using both local and non-local tools.</p>
<p><b>Learn how to use PHP to:</b></p>
<ul>
<li>Log and correctly identify error levels.</li> 
<li>Capture the right information for fixing a bug.</li> 
<li>Configure PHP error reporting, log errors to files, and log errors to other locations.</li>
<li>Debug more efficiently using local development tools like var_dump, WordPress CLI, Laravel artisan tinker, whoops, and Xdebug.</li> 
<li>Debug on non-local instances by capturing errors remotely with tools like Monolog.</li>
</ul>",Course,2023-02-06 12:45 UTC,N/A,false,N/A,
PostgreSQL: Advanced Queries,"In this course, database expert Adam Wilbert introduces you to a number of advanced query techniques that you can use to better understand your data. Statistical analyses involve understanding the shape and size of the full data set, and deeper insights can be gained by grouping data together to obtain some very useful metrics. Adam shows you how to create basic groups and apply aggregate calculations, then moves into window functions that create subgroups for more granular analysis. He goes over statistics that are based on sorted data within groups, such as the median value, the first and third quartiles of a dataset, the most frequent value, and more. Adam also covers ranking, hypothetical sets, percentile functions, and conditional expressions for further manipulating query result sets. He concludes with some additional querying techniques that you may find useful in solving common problems.",Course,2025-08-08 21:12 UTC,N/A,false,N/A,
Tomada de Riscos para Líderes,"A tomada de risco é imperativa para o crescimento em longo prazo, nos níveis pessoal e organizacional. Gerentes avessos a risco não conseguem gerenciar de modo efetivo ou crescer. Nesse curso, a escritora e consultora Deborah Perry Piscione revela as diferenças entre a tomada de risco calculada e os jogos de azar, e como dominar a arte do risco. Saiba como os líderes podem modelar comportamentos de tomada de risco que equilibram a criação de valor em longo prazo e a rentabilidade em curto prazo.
Uma vez que você, como líder, saiba como e quando tomar risco, pode construir uma cultura que, além de produzir um ótimo trabalho, tenha um fluxo constante de ideias que melhorem todos os aspectos da organização. Assista esse curso e melhore a relevância e o valor de mercado de seu negócio e carreira.",Course,2019-03-09 16:22 UTC,N/A,false,N/A,
Histórias de Vida: Mulheres na Tecnologia,"Neste curso, conhecerá as histórias de vida de Danielle Monteiro, Amanda Cavallaro e Jessica Temporal, três mulheres desenvolvedoras que compartilham os desafios de ser mulher trabalhando em um mundo de homens, como tradicionalmente é o campo da tecnologia.",Course,2022-03-15 15:41 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:3239033,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:3239033,Course,2023-03-05 15:41 UTC,N/A,false,N/A,
