Company Name,Title,Description,Location,Started On,Finished On
Grupo Fornecedora,Supervisor de Dados e Desenvolvimento,,"Fortaleza, Ceará, Brasil",Jul 2021,
FortBrasil,Engenheiro de Dados | DBA,,"Fortaleza, Ceará, Brasil",Jun 2022,Jan 2024
Grupo Fornecedora,Engenheiro de Dados | Desenvolvedor Backend,,"Fortaleza, Ceará, Brasil",Aug 2020,Jun 2022
Grupo Fornecedora,Técnico de suporte em TI,,"Fortaleza e Região, Brasil",Aug 2019,Aug 2020
Grupo Fornecedora,Estagiário TIC,,"Fortaleza, Ceará, Brazil",Aug 2018,Jul 2019
